"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$129.219,83";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$4.140,39";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - FPE";"-R$276,60";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - FPM";"-R$203,57";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - ICME";"-R$382,58";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,21";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - IPVA";"-R$61,50";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - ITCMD";"-R$2,66";"2300101";"1301"
"CE";"Abaiara";"2023";"AJUSTE FUNDEB - ITR";"-R$0,04";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - COUN VAAF";"R$2.662.719,34";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - COUN VAAT";"R$2.917.721,90";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - FPE";"R$2.105.078,37";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - FPM";"R$1.553.926,32";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - ICMS";"R$3.239.969,73";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - IPI-EXP";"R$10.231,91";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - IPVA";"R$345.917,23";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - ITCMD";"R$20.913,73";"2300101";"1301"
"CE";"Abaiara";"2023";"FUNDEB - ITR";"R$634,52";"2300101";"1301"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$193.686,98";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$6.127,34";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - FPE";"-R$419,36";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - FPM";"-R$308,67";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - ICME";"-R$580,07";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,85";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - IPVA";"-R$93,28";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - ITCMD";"-R$4,02";"2300150";"1231"
"CE";"Acarapé";"2023";"AJUSTE FUNDEB - ITR";"-R$0,09";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - COUN VAAF";"R$4.048.538,26";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - COUN VAAT";"R$2.363.357,02";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - FPE";"R$3.191.216,81";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - FPM";"R$2.355.691,64";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - ICMS";"R$4.913.382,42";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - IPI-EXP";"R$15.511,19";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - IPVA";"R$524.419,63";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - ITCMD";"R$31.785,42";"2300150";"1231"
"CE";"Acarapé";"2023";"FUNDEB - ITR";"R$962,33";"2300150";"1231"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$929.070,52";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$27.447,74";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - FPE";"-R$1.967,70";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - FPM";"-R$1.448,08";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - ICME";"-R$2.721,71";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - IPIE";"-R$8,72";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - IPVA";"-R$437,63";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - ITCMD";"-R$18,87";"2300200";"1303"
"CE";"Acaraú";"2023";"AJUSTE FUNDEB - ITR";"-R$0,27";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - COUN VAAF";"R$18.886.646,49";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - COUN VAAT";"R$22.792.823,71";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - FPE";"R$14.973.782,77";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - FPM";"R$11.053.343,30";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - ICMS";"R$23.038.756,36";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - IPI-EXP";"R$72.781,42";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - IPVA";"R$2.460.467,17";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - ITCMD";"R$148.398,88";"2300200";"1303"
"CE";"Acaraú";"2023";"FUNDEB - ITR";"R$4.511,59";"2300200";"1303"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$551.756,96";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$17.390,98";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - FPE";"-R$1.210,91";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - FPM";"-R$891,14";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - ICME";"-R$1.674,89";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - IPIE";"-R$5,39";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - IPVA";"-R$269,32";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - ITCMD";"-R$11,61";"2300309";"1305"
"CE";"Acopiara";"2023";"AJUSTE FUNDEB - ITR";"-R$0,18";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - COUN VAAF";"R$11.731.086,95";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - COUN VAAT";"R$6.263.020,55";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - FPE";"R$9.214.752,47";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - FPM";"R$6.802.143,72";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - ICMS";"R$14.193.414,54";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - IPI-EXP";"R$44.789,12";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - IPVA";"R$1.514.357,30";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - ITCMD";"R$92.057,84";"2300309";"1305"
"CE";"Acopiara";"2023";"FUNDEB - ITR";"R$2.780,02";"2300309";"1305"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$184.369,21";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$5.850,72";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - FPE";"-R$400,05";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - FPM";"-R$294,38";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - ICME";"-R$553,33";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,80";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - IPVA";"-R$88,95";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - ITCMD";"-R$3,82";"2300408";"1307"
"CE";"Aiuaba";"2023";"AJUSTE FUNDEB - ITR";"-R$0,07";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - COUN VAAF";"R$3.864.382,98";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - COUN VAAR";"R$140.469,40";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - COUN VAAT";"R$1.996.418,75";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - FPE";"R$3.044.335,69";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - FPM";"R$2.247.266,97";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - ICMS";"R$4.687.549,06";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - IPI-EXP";"R$14.797,29";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - IPVA";"R$500.286,42";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - ITCMD";"R$30.337,22";"2300408";"1307"
"CE";"Aiuaba";"2023";"FUNDEB - ITR";"R$918,11";"2300408";"1307"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$149.142,05";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$4.843,38";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - FPE";"-R$325,87";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - FPM";"-R$239,80";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - ICME";"-R$450,73";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,44";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - IPVA";"-R$72,46";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - ITCMD";"-R$3,11";"2300507";"1309"
"CE";"Alcântaras";"2023";"AJUSTE FUNDEB - ITR";"-R$0,05";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - COUN VAAF";"R$3.153.537,48";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - COUN VAAT";"R$2.383.922,10";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - FPE";"R$2.479.880,29";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - FPM";"R$1.830.597,43";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - ICMS";"R$3.819.233,55";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - IPI-EXP";"R$12.053,70";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - IPVA";"R$407.538,18";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - ITCMD";"R$24.750,66";"2300507";"1309"
"CE";"Alcântaras";"2023";"FUNDEB - ITR";"R$748,03";"2300507";"1309"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$131.939,48";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$3.898,85";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - FPE";"-R$278,85";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - FPM";"-R$205,21";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - ICME";"-R$385,69";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,25";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - IPVA";"-R$62,00";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - ITCMD";"-R$2,68";"2300606";"1311"
"CE";"Altaneira";"2023";"AJUSTE FUNDEB - ITR";"-R$0,05";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - COUN VAAF";"R$2.674.856,03";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - COUN VAAT";"R$2.600.722,12";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - FPE";"R$2.121.905,16";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - FPM";"R$1.566.347,46";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - ICMS";"R$3.264.556,73";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - IPI-EXP";"R$10.313,74";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - IPVA";"R$348.665,06";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - ITCMD";"R$21.018,93";"2300606";"1311"
"CE";"Altaneira";"2023";"FUNDEB - ITR";"R$639,29";"2300606";"1311"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$224.198,20";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$6.781,86";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - FPE";"-R$478,24";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - FPM";"-R$351,94";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - ICME";"-R$661,46";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - IPIE";"-R$2,10";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - IPVA";"-R$106,43";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - ITCMD";"-R$4,59";"2300705";"1313"
"CE";"Alto Santo";"2023";"AJUSTE FUNDEB - ITR";"-R$0,03";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - COUN VAAF";"R$4.598.926,73";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - COUN VAAT";"R$4.448.733,49";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - FPE";"R$3.639.242,09";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - FPM";"R$2.686.414,81";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - ICMS";"R$5.600.607,77";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - IPI-EXP";"R$17.688,84";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - IPVA";"R$598.010,65";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - ITCMD";"R$36.125,94";"2300705";"1313"
"CE";"Alto Santo";"2023";"FUNDEB - ITR";"R$1.096,78";"2300705";"1313"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$725.156,09";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$20.184,67";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - FPE";"-R$1.506,02";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - FPM";"-R$1.108,36";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - ICME";"-R$2.083,17";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - IPIE";"-R$6,65";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - IPVA";"-R$334,98";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - ITCMD";"-R$14,46";"2300754";"1587"
"CE";"Amontada";"2023";"AJUSTE FUNDEB - ITR";"-R$0,23";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - COUN VAAF";"R$14.379.187,24";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - COUN VAAT";"R$18.419.122,29";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - FPE";"R$11.460.632,62";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - FPM";"R$8.460.007,00";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - ICMS";"R$17.622.467,05";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - IPI-EXP";"R$55.705,46";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - IPVA";"R$1.883.048,34";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - ITCMD";"R$113.064,79";"2300754";"1587"
"CE";"Amontada";"2023";"FUNDEB - ITR";"R$3.450,58";"2300754";"1587"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$102.464,40";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$3.224,93";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - FPE";"-R$223,68";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - FPM";"-R$164,65";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - ICME";"-R$309,41";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,01";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - IPVA";"-R$49,81";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - ITCMD";"-R$2,15";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"AJUSTE FUNDEB - ITR";"-R$0,01";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - COUN VAAF";"R$2.164.293,99";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - COUN VAAT";"R$1.402.298,16";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - FPE";"R$1.702.322,41";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - FPM";"R$1.256.619,97";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - ICMS";"R$2.621.659,81";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - IPI-EXP";"R$8.274,29";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - IPVA";"R$279.755,15";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - ITCMD";"R$16.987,06";"2300804";"1315"
"CE";"Antonina do Norte";"2023";"FUNDEB - ITR";"R$513,46";"2300804";"1315"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$174.653,67";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$5.068,61";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - FPE";"-R$366,65";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - FPM";"-R$269,82";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - ICME";"-R$507,14";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - IPIE";"-R$1,63";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - IPVA";"-R$81,49";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - ITCMD";"-R$3,51";"2300903";"1317"
"CE";"Apuiarés";"2023";"AJUSTE FUNDEB - ITR";"-R$0,02";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - COUN VAAF";"R$3.510.922,81";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - COUN VAAT";"R$4.348.588,53";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - FPE";"R$2.790.143,51";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - FPM";"R$2.059.627,46";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - ICMS";"R$4.291.738,87";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - IPI-EXP";"R$13.561,73";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - IPVA";"R$458.456,00";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - ITCMD";"R$27.595,54";"2300903";"1317"
"CE";"Apuiarés";"2023";"FUNDEB - ITR";"R$840,39";"2300903";"1317"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$1.205.184,97";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$32.831,69";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - FPE";"-R$2.492,62";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - FPM";"-R$1.834,35";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - ICME";"-R$3.447,84";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - IPIE";"-R$11,04";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - IPVA";"-R$554,33";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - ITCMD";"-R$23,93";"2301000";"1319"
"CE";"Aquiraz";"2023";"AJUSTE FUNDEB - ITR";"-R$0,32";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - COUN VAAF";"R$23.771.832,49";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - COUN VAAR";"R$1.802.704,91";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - COUN VAAT";"R$3.121.956,41";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - FPE";"R$18.968.394,57";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - FPM";"R$14.002.084,89";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - ICMS";"R$29.162.917,79";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - IPI-EXP";"R$92.197,59";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - IPVA";"R$3.116.566,09";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - ITCMD";"R$186.949,38";"2301000";"1319"
"CE";"Aquiraz";"2023";"FUNDEB - ITR";"R$5.710,06";"2301000";"1319"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$962.259,23";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$27.867,81";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - FPE";"-R$2.019,18";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - FPM";"-R$1.485,99";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - ICME";"-R$2.792,98";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - IPIE";"-R$8,94";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - IPVA";"-R$449,10";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - ITCMD";"-R$19,40";"2301109";"1321"
"CE";"Aracati";"2023";"AJUSTE FUNDEB - ITR";"-R$0,27";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - COUN VAAF";"R$19.332.750,35";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - COUN VAAR";"R$1.543.983,32";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - COUN VAAT";"R$15.298.973,96";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - FPE";"R$15.365.628,48";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - FPM";"R$11.342.595,95";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - ICMS";"R$23.634.751,86";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - IPI-EXP";"R$74.686,02";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - IPVA";"R$2.524.763,81";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - ITCMD";"R$151.956,19";"2301109";"1321"
"CE";"Aracati";"2023";"FUNDEB - ITR";"R$4.628,06";"2301109";"1321"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAF";"R$444.956,04";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - AJUSTE FUNDEB VAAT";"-R$11.955,02";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - FPE";"-R$911,03";"2301208";"1323"
"CE";"Aracoiaba";"2023";"AJUSTE FUNDEB - FPM";"-R$670,40";"2301208";"1323"
